"id","product_id","user_name","review","rating","feature_id","sentiment"
1,1,"Emily Johnson","I can't say enough good things about these headphones! The sound quality is absolutely incredible, blowing my old pair out of the water. The battery life lasts for days — I took them on a road trip and never had to charge them once! The lightweight design makes them super comfortable for long listening sessions. Highly recommend to anyone looking for top-notch audio!","5.00",,
2,1,"Michael Brown","Worst headphones I've ever purchased. They broke within a week of use. The build quality feels cheap, and the sound just cut out randomly. I tried reaching out to customer support, but they were unresponsive. Save your money and look for something more reliable. I'm incredibly disappointed, given the hype.","1.00",,
3,1,"Sarah Wilson","These headphones are decent, but they have their quirks. The sound quality is good, but the EQ settings can be hit or miss. Sometimes, it takes a while to connect to devices, which is a bummer. They're comfortable enough for a few hours, but I wouldn't want to wear them all day. Overall, they're okay, but I wish they'd live up to the marketing.","3.00",17,"neutral"
4,1,"Jason Smith","Incredible sound! I love the Vyron DeepSound Enhancement technology; it makes my music feel richer and more immersive. The comfort is perfect for long listening sessions, and I appreciate the quick charging feature, which is super handy. Plus, the ability to connect to two devices at once is a game changer! Total win!","5.00",13,"positive"
5,1,"Lisa White","Pretty solid headphones! The design is sleek and modern, and they're surprisingly lightweight. The battery life is impressive, too! My only gripe is that they don't quite block out outside noise as much as I expected. Otherwise, they perform wonderfully, and I've enjoyed using them for both music and calls. Definitely worth the investment.","4.00",,
6,1,"Chris Davis","While the sound is decent, I was disappointed with the build quality. They feel a bit flimsy, and the ear cushions started to wear out after just a month. I expected more from this brand given the price point. They're okay for casual use, but if you're serious about audio quality, you might want to look elsewhere.","2.00",,
7,1,"Rachel Green","Absolutely loving my new Vyron headphones! The ease of use is fantastic, and setup was a breeze. The audio quality is crystal clear, and the ability to switch between devices seamlessly is a huge plus. They're very lightweight, making them perfect for long study sessions. I've even recommended them to a few friends already!","5.00",11,"positive"
8,1,"Andrew Martin","I bought these headphones hoping for great sound, but what I got was a headache. They stopped working after two weeks, and customer support was a nightmare to deal with. I wouldn't recommend these to anyone. It's frustrating when a product doesn't match its premium price tag. Total letdown!","1.00",,
9,1,"Karen Lee","These headphones are generally impressive. The battery life is outstanding and lasts through several long sessions without needing a charge. I love the lightweight design, but I do wish the microphone was clearer during calls. Still, for listening to music and movies, they perform really well. Good buy!","4.00",6,"negative"
10,1,"Thomas Anderson","They're fine for casual use. The design is sleek and modern, and they don't feel heavy on my head. However, the app to adjust EQ settings is a bit glitchy at times, which can be frustrating. Overall, they do the job, but I think there are better options out there for the price.","3.00",9,"negative"
11,1,"Jennifer Martinez","These headphones have transformed my music experience! The rich, crisp sound is phenomenal and makes every song an adventure. The battery life is so long; I've used them throughout long flights without needing a charge. Plus, they're so comfy I forget I'm wearing them sometimes. Do yourself a favor and try these!","5.00",,
12,1,"Daniel Harris","Disappointed with my purchase. The plastic feels cheap, and the audio quality isn't as good as advertised. They do connect easily to devices, but the overall experience was underwhelming. I expected much better quality, especially considering their price. They might work for casual listening, but they're not what I hoped for.","2.00",1,"negative"
13,1,"Megan Thompson","Solid headphones with a great sound. The features like dual device connectivity and customizable EQ settings are super handy. They're comfortable enough, though I had a bit of trouble with the padding—it could be a little more cushioned. Overall, though, I'm satisfied with my purchase for the price.","4.00",11,"positive"
14,1,"Kevin Robinson","These headphones are just average. While the sound is decent, they didn't wow me as I expected. Connectivity is good, but sometimes it disconnects unexpectedly. The weight is nice for portability, but the materials feel like they might not hold up over time. They're okay if you're not looking for something too fancy.","3.00",,
15,1,"Rachel Lopez","These headphones are phenomenal! The battery life is unreal; I can listen to music for days without worrying about charging them. I love the sound customization options through the app, letting me set my audio to my liking. Plus, the comfort is outstanding, perfect for long hours at work. Highly recommend!","5.00",17,"positive"
16,1,"Jason Wilson","Terribly unhappy with this product. The sound quality is mediocre at best, and I've experienced multiple disconnections while using them. Customer service did not help me when I reached out regarding the issues. I did not expect to spend this much and end up with such a frustrating experience. Definitely would not recommend.","1.00",,
17,1,"Jessica White","The Vyron headphones are stylish and lightweight, which I love! They pair effortlessly with my phone, and the audio quality is crisp and clear. However, the button controls take a bit of getting used to. Once I figured it out, I enjoyed them. Great option for budget-conscious buyers!","4.00",,
18,1,"Anthony King","Decent pair of headphones. I like the sound quality, but they don't isolate background noise well. The design is attractive, and I find them comfortable for short sessions, but they can become a bit uncomfortable after extended use. Overall, they offer some good features, but they could be improved in the comfort department.","3.00",,
19,1,"Olivia Garcia","Absolutely stellar product! I was looking for a lightweight and comfortable pair of headphones, and these exceeded my expectations. The sound quality is absolutely exceptional, with deep bass and clear highs. Plus, they last for days on a single charge. I highly recommend these for anyone who loves music!","5.00",,
20,1,"Paul Martinez","Really disappointed. They broke after a month of casual use. The sound quality was mediocre, and they started disconnecting randomly. Trying to resolve this through customer support was frustrating; they were unhelpful. I expected much more based on the positive reviews. Save your money!","1.00",,
21,1,"Kelly Hall","Not the best purchase I've made. They look nice and are easy to use, but the sound isn't as great as I had hoped. They also don't fit as snugly as I'd like, leading to sound leakage. I can use them for light listening, but for serious music lovers, I would suggest looking elsewhere.","2.00",,
22,1,"Sam Turner","Great headphones! Love the build quality and the versatility in sound settings. They work seamlessly with my tablet and smartphone, which is a big plus. The only downside I noticed was the transportation case is a bit flimsy. Overall, they perform well and are a solid choice for anyone looking for wireless!","4.00",1,"positive"
