id,feature_name,categories
1,Bluetooth,['Headphones']
2,Wired Connection,['Headphones']
3,Noise Cancellation,['Headphones']
4,Passive Noise Isolation,['Headphones']
5,Transparency Mode,['Headphones']
6,Microphone,['Headphones']
7,Voice Assistant,['Headphones']
8,Touch Controls,['Headphones']
9,App Support,['Headphones']
11,Multi Device Pairing,['Headphones']
13,Fast Charging,"['Headphones', 'Tablets', 'Smartwatches']"
15,Water Resistant,"['Headphones', 'Smartwatches']"
16,Foldable Design,['Headphones']
17,Audio Customization,['Headphones']
18,Hi Res Audio,['Headphones']
19,Surround Sound,['Headphones']
20,Onboard Battery,['Headphones']
21,Carrying Case,['Headphones']
22,Touchscreen,"['Tablets', 'Smartwatches']"
23,Stylus Support,['Tablets']
24,Rear Camera,['Tablets']
25,Front Camera,['Tablets']
26,Built-In Speakers,['Tablets']
27,External Keyboard Support,['Tablets']
28,Cellular Connectivity,"['Tablets', 'Smartwatches']"
29,GPS,"['Tablets', 'Smartwatches']"
30,WiFi,"['Tablets', 'Smartwatches']"
31,USB Type C,['Tablets']
32,Headphone Jack,['Tablets']
33,Face Unlock,['Tablets']
35,Expandable Storage,['Tablets']
36,Desktop Mode Support,['Tablets']
37,App Store Access,"['Tablets', 'Smartwatches']"
38,Parental Controls,['Tablets']
41,Watch Face Customization,['Smartwatches']
42,Heart Rate Monitoring,['Smartwatches']
43,SpO2 Monitoring,['Smartwatches']
44,Sleep Tracking,['Smartwatches']
46,Blood Pressure Monitoring,['Smartwatches']
47,Stress Tracking,['Smartwatches']
48,Fall Detection,['Smartwatches']
49,Skin Temperature Monitoring,['Smartwatches']
50,Step Counter,['Smartwatches']
51,Sports Modes,['Smartwatches']
52,Compass,['Smartwatches']
53,Notifications,['Smartwatches']
54,Bluetooth Calling,['Smartwatches']
55,Music Playback,['Smartwatches']
57,App Downloads,['Smartwatches']
58,LTE,['Smartwatches']
59,iOS Compatible,['Smartwatches']
60,Android Compatible,['Smartwatches']
62,Magnetic Charger,['Smartwatches']
